,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,Instructor
A,,,,,,,,,,,,,,,,,,,,,2
B,1,,,,,,,1,,1,,,1,,,,,,,,5
C,,1,,,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,2,,1,,,,,,,,2
E,2,2,1,,,1,,,,1,1,2,1,,,,,2,2,1,2
F,,,1,,2,,,1,,,,,1,,1,,,,1,,3
G,,,,,1,,,1,,,,,,,,,,,,,3
H,,1,1,,,1,,,,,,,1,,,,,1,,,1
I,,1,,,,,,,,,1,,1,,,,1,,,,1
J,,1,,,1,,,,,,,,,,,,,1,,,1
K,,,,,1,,,,,,,,,,1,,,,1,,3
L,,,,1,,,1,,,,,,,,,,,,,,1
M,,,,,2,,,,,1,,1,,,,,,2,1,3,3
N,1,,,,,,,,,,,,,,,,,,,,5
O,,,,,2,,,,,,,,3,,,,,,1,1,3
P,,,,,,,,,,,,,1,,,,,,,,
Q,,,1,,,,,,1,,,,,,,,,,,,
R,1,,1,,2,,,1,,1,,,1,1,1,,1,,,,3
S,1,1,,,2,,,,,,,,1,,,,,,,2,6
T,,,,,1,,,,,1,,,2,,1,,,,3,,3
Instructor,,,,,,,,,,,,,,,,,,,,,
